Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2003,184,0.023,2426,The Visual Bible: The Gospel of John,Drama,10000000,4069090,9/11/2003,125,Philip Saville,9,1,4,52,0,2,10,7.9,2003,https://image.tmdb.org/t/p/w500/rKbmbnYfFhgTjGoDU9F4pIhVvKh.jpg
2014,236.7,0.016,1780,The Water Diviner,War,22500000,15520023,12/25/2014,112,Russell Crowe,19,3,14,50,25,4,35,6.7,2014,https://image.tmdb.org/t/p/w500/kIlVtC22BDNiiAiCvSZoOS7FhY9.jpg
2006,201.6,0.032,2579,The Wind That Shakes the Barley,Drama,6500000,22889018,5/18/2006,124,Ken Loach,2,0,28,82,8,3,58,8,2006,https://image.tmdb.org/t/p/w500/yCb4LweL6U7KTgSda3Wb7vHiA9J.jpg
2013,233,0.015,1894,The World's End,Comedy,20000000,46089287,7/18/2013,109,Edgar Wright,2,1,42,81,89,47,613,7.8,2013,https://image.tmdb.org/t/p/w500/kpglnOBYmKn0AkkWDzGxzKHDbds.jpg
2008,215.3,0.038,2708,The Wrestler,Drama,6000000,44703995,9/7/2008,109,Darren Aronofsky,3,0,33,81,27,16,310,8.2,2008,https://image.tmdb.org/t/p/w500/7QH5p5BF582k6qHufCKjftfkqWH.jpg
2008,215.3,0.038,2135,The Yellow Handkerchief,Drama,15000000,317000,12/17/2008,102,Udayan Prasad,9,1,17,62,2,2,8,6.9,2008,https://image.tmdb.org/t/p/w500/fJYGRCBJwlHVqVaPMX8yreiRnr6.jpg
2013,233,0.015,1376,The Young and Prodigious T.S. Spivet,Adventure,33000000,9494789,10/16/2013,105,Jean-Pierre Jeunet,4,1,6,53,2,1,7,6.9,2013,https://image.tmdb.org/t/p/w500/pmr4h0ZLguYsvxaVmjS0bguLcnB.jpg
2009,214.5,-0.004,1325,The Young Victoria,Drama,35000000,27409889,3/4/2009,105,Jean-Marc Vallée,7,1,21,64,9,1,59,8,2009,https://image.tmdb.org/t/p/w500/hwnFAvapPHjsAE0JWG9vpyXswSi.jpg
2007,207.3,0.029,2117,Things We Lost in the Fire,Drama,16000000,2849142,9/26/2007,113,Susanne Bier,8,2,20,63,5,1,29,7.8,2007,https://image.tmdb.org/t/p/w500/fyMziX8tPzPSguUgOpKWkKK322S.jpg
2006,201.6,0.032,3002,This Is England,Drama,2380000,8176544,9/12/2006,101,Shane Meadows,1,0,22,86,15,8,101,7.8,2006,https://image.tmdb.org/t/p/w500/zzbVtj7qSVLig1sEgGDXJDPhaXF.jpg
2011,224.9,0.032,128,Thor,Adventure,150000000,449326618,4/21/2011,115,Kenneth Branagh,14,4,22,57,389,114,1206,7,2011,https://image.tmdb.org/t/p/w500/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg
2013,233,0.015,125,Thor: The Dark World,Action,170000000,644571402,10/29/2013,112,Alan Taylor,19,3,22,54,328,114,971,7.1,2013,https://image.tmdb.org/t/p/w500/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
